类型： 爱情 / 动画 / 奇幻 , 片名：《天气之子》, 上映日期：2019-11-01
类型： 剧情 / 冒险 , 片名：《野性的呼唤》, 上映日期：2020-02-21
类型： 科幻 / 灾难 / 动作 , 片名：《哥斯拉2：怪兽之王》, 上映日期：2019-05-31
类型： 动作 / 战争 , 片名：《战狼2》, 上映日期：2017-07-27
类型： 灾难 , 片名：《活着》, 上映日期：2020-06-24
类型： 爱情 / 青春 / 剧情 , 片名：《少年的你》, 上映日期：2019-10-25
类型： 动画 / 喜剧 / 奇幻 , 片名：《哪吒之魔童降世》, 上映日期：2019-07-26
类型： 剧情 / 犯罪 / 悬疑 , 片名：《吹哨人》, 上映日期：2019-12-06
类型： 喜剧 / 动作 / 悬疑 , 片名：《唐人街探案2》, 上映日期：2018-02-16
类型： 剧情 / 犯罪 , 片名：《误杀》, 上映日期：2019-12-13
